(((3:0.6,((4:0.0765)#H1:0.22549793462433265::0.9167804732935938,(5:0.153,#H1:0.0765::0.0832195267064062):0.14899793462433267):0.2980020653756673):3.4,2:4.0):6.0,1:10.0); right taxa and direction

(1:10.0,(2:4.001,(3:0.6,((4:0.077)#H1:0.22186238948553888::0.9002402857394491,(5:0.154,#H1:0.077::0.09975971426055086):0.1448623894855389):0.3011376105144611):3.4010000000000002):5.999); right taxa and direction

(1:10.001,((3:0.6,((4:0.077)#H1:0.22185546926527844::0.9061143700248109,(5:0.154,#H1:0.077::0.09388562997518908):0.14485546926527845):0.3011445307347215):3.4,2:4.0):6.0009999999999994); right taxa and direction

(1:10.0,(2:4.001,(3:0.6,((4:0.076)#H1:0.22394588345295374::0.8965080296500613,(5:0.152,#H1:0.076::0.10349197034993873):0.14794588345295376):0.3000541165470462):3.4010000000000002):5.999); right taxa and direction

(1:10.001,(2:4.0,(3:0.6,((5:0.075)#H1:0.22258050304172644::0.8783369558939002,(4:0.15,#H1:0.075::0.12166304410609981):0.14758050304172646):0.3024194969582735):3.4):6.0009999999999994); right taxa, wrong direction

(1:10.001000000000001,(2:4.0,(3:0.6,((4:0.077)#H1:0.22269719323900017::0.9287804732935938,(5:0.154,#H1:0.077::0.07121952670640617):0.14569719323900018):0.3003028067609998):3.4):6.001000000000001); right taxa and direction

(1:10.001,((3:0.6,((4:0.076)#H1:0.222287449710924::0.8917856713626061,(5:0.152,#H1:0.076::0.10821432863739389):0.14628744971092403):0.30171255028907595):3.4,2:4.0):6.0009999999999994); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0765)#H1:0.222492321474962::0.9167804732935938,(4:0.153,#H1:0.0765::0.0832195267064062):0.14599232147496202):0.30100767852503796):3.4):6.0); right taxa, wrong direction

(1:10.001,(2:4.0009999999999994,(3:0.6,((5:0.0755)#H1:0.2219808266409195::0.91611033161897,(4:0.151,#H1:0.0755::0.08388966838102996):0.14648082664091952):0.30251917335908046):3.4009999999999994):6.0); right taxa, wrong direction

(1:10.001,((3:0.6,((4:0.076)#H1:0.222287449710924::0.9193330493765571,(5:0.152,#H1:0.076::0.08066695062344288):0.14628744971092403):0.30171255028907595):3.4,2:4.0):6.0009999999999994); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0755)#H1:0.22208257794688585::0.9167804732935938,(4:0.151,#H1:0.0755::0.0832195267064062):0.14658257794688587):0.3024174220531141):3.4):6.0); right taxa, wrong direction

(1:10.0,((3:0.6,((4:0.078)#H1:0.2199290899504669::0.906487521593633,(5:0.156,#H1:0.078::0.09351247840636696):0.1419290899504669):0.30207091004953307):3.4010000000000002,2:4.001):5.999); right tax and direction

(1:10.001,((3:0.6,((5:0.076)#H1:0.22403783315234582::0.9373214929560907,(4:0.152,#H1:0.076::0.06267850704390932):0.14803783315234584):0.29996216684765414):3.4,2:4.0):6.0009999999999994); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((4:0.075)#H1:0.2231706175048449::0.9178604883988671,(5:0.15,#H1:0.075::0.0821395116011329):0.14817061750484492):0.30182938249515506):3.4):6.0); right taxa and direction

((2:4.0,(3:0.6,((4:0.078)#H1:0.22194907502664868::0.8917856713626061,(5:0.156,#H1:0.078::0.10821432863739389):0.1439490750266487):0.3000509249733513):3.4):6.0,1:10.0); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((4:0.076)#H1:0.222287449710924::0.8917856713626061,(5:0.152,#H1:0.076::0.10821432863739389):0.14628744971092403):0.30171255028907595):3.4):6.0); right taxa and direction

((2:4.0,(3:0.6,((4:0.0755)#H1:0.22261047967355407::0.8819660112501051,(5:0.151,#H1:0.0755::0.1180339887498949):0.1471104796735541):0.3018895203264459):3.4):6.0009999999999994,1:10.001); right taxa and direction

(1:10.0,(2:4.001,(3:0.601,((4:0.078)#H1:0.2202487500629679::0.9167804732935938,(5:0.156,#H1:0.078::0.0832195267064062):0.14224875006296792):0.30275124993703206):3.4000000000000004):5.999); right taxa and direction

(1:10.001,((3:0.6,((4:0.0785)#H1:0.21933347379318274::0.9167804732935938,(5:0.157,#H1:0.0785::0.0832195267064062):0.14083347379318276):0.3021665262068172):3.4,2:4.0):6.0009999999999994); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0765)#H1:0.222492321474962::0.8941596219009446,(4:0.153,#H1:0.0765::0.10584037809905544):0.14599232147496202):0.30100767852503796):3.4):6.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0755)#H1:0.22507003155083127::0.9331770260878698,(4:0.151,#H1:0.0755::0.06682297391213018):0.1495700315508313):0.2994299684491687):3.4):6.0); right taxa, wrong direction

(1:10.001,(2:4.0,(3:0.6,((4:0.0755)#H1:0.22423863069105082::0.8967722525415718,(5:0.151,#H1:0.0755::0.10322774745842822):0.14873863069105084):0.30026136930894914):3.4):6.0009999999999994); right taxa and direction

(1:10.001,((3:0.6,((5:0.0755)#H1:0.22519537367317327::0.8979582546631859,(4:0.151,#H1:0.0755::0.1020417453368141):0.1496953736731733):0.2993046263268267):3.4,2:4.0):6.0009999999999994); right taxa, wrong direction

(1:10.0,(2:4.0009999999999994,(3:0.6,((5:0.077)#H1:0.2207350196682364::0.9071573105231459,(4:0.154,#H1:0.077::0.09284268947685415):0.1437350196682364):0.3022649803317636):3.4009999999999994):5.9990000000000006); right taxa, wrong direction

